"","sample","total_peaks","aveOtoC","aveHtoC","Aliphatics","AliphaticsN","Saturated","Condensed_Aromatics","Aromatic","LigninPhenolics","Aromaticity_NA"
"1","X.out11.",4,1.08050595238095,1.41994047619048,0,3,4,1,0,3,-7
"2","X.out12.",3,0.993915343915344,0.814550264550264,0,1,1,2,0,1,-2
"3","X.out13.",2,0.959375,1.153125,0,1,1,1,0,1,-2
"4","X.out14.",1,1.2,1.9,0,1,1,0,0,1,-2
"5","X.out15.",3,0.998888888888889,0.863888888888889,0,1,2,2,0,1,-3
"6","X.out16.",1,1.2,1.9,0,1,1,0,0,1,-2
"7","X.out18.",2,0.991883116883117,0.712662337662338,0,0,1,0,1,1,-1
"8","X.out19.",1,1,1.08695652173913,0,0,1,0,0,1,-1
"9","X.out21.",7,0.956534914361001,1.75347073216638,0,5,5,0,0,6,-9
"10","X.out22.",3,1.15974025974026,1.87431457431457,0,3,3,0,0,3,-6
"11","X.out23.",5,1.01251082251082,1.29580086580087,0,3,4,1,1,3,-7
"12","X.out24.",2,1.17142857142857,1.90238095238095,0,2,2,0,0,2,-4
"13","X.out25.",4,0.986755952380952,1.34181547619048,0,2,3,1,0,3,-5
"14","X.out26.",1,0.884615384615385,1.38461538461538,0,0,0,0,0,1,0
"15","X.out27.",1,1.2,1.9,0,1,1,0,0,1,-2
"16","X.out28.",2,0.94375,1.60625,0,1,1,0,0,2,-2
"17","X.out29.",3,1.01011904761905,1.70575396825397,0,2,2,0,0,3,-4
"18","X.out3.",1,1,0.869565217391304,0,0,1,0,0,1,-1
"19","X.out30.",1,1.2,1.9,0,1,1,0,0,1,-2
"20","X.out31.",5,0.809911674347158,1.20749092305544,0,1,1,0,1,4,-2
"21","X.out32.",4,0.865239867659222,1.01640348898413,0,1,1,1,1,2,-2
"22","X.out33.",2,0.933333333333333,1.2530303030303,0,1,1,0,1,1,-2
"23","X.out34.",3,1.02222222222222,0.902020202020202,0,1,2,0,1,2,-3
"24","X.out35.",4,0.9,0.855681818181818,0,1,2,1,2,1,-3
"25","X.out36.",2,1.05833333333333,1.075,0,1,2,1,0,1,-3
"26","X.out37.",4,0.92669471715755,1.18822623145905,0,1,2,0,1,3,-3
"27","X.out38.",6,0.98513198757764,1.22321075663467,0,2,4,0,1,5,-6
"28","X.out39.",1,1.2,1.9,0,1,1,0,0,1,-2
"29","X.out40.",2,0.933333333333333,1.2530303030303,0,1,1,0,1,1,-2
"30","X.out41.",1,1.2,1.9,0,1,1,0,0,1,-2
"31","X.out42.",4,1.03561507936508,0.944907407407407,0,1,3,1,0,3,-4
"32","X.out43.",1,1.2,1.9,0,1,1,0,0,1,-2
"33","X.out44.",1,1.2,1.9,0,1,1,0,0,1,-2
"34","X.out45.",3,1.01989247311828,1.26344086021505,0,1,2,0,0,3,-3
"35","X.out46.",1,1.2,1.9,0,1,1,0,0,1,-2
"36","X.out47.",1,1.2,1.9,0,1,1,0,0,1,-2
"37","X.out48.",1,0.88,0.24,0,0,0,1,0,0,0
"38","X.out49.",1,1.2,1.9,0,1,1,0,0,1,-2
"39","X.out51.",1,0.758620689655172,0.620689655172414,0,0,0,0,1,0,0
"40","X.out52.",2,1.02380952380952,0.428571428571429,0,0,1,1,1,0,-1
"41","X.out53.",2,0.901049475262369,0.788605697151424,0,0,1,0,1,1,-1
"42","X.out55.",2,0.96,0.74,0,0,2,1,0,1,-2
"43","X.out56.",1,0.71875,0.40625,0,0,0,1,0,0,0
"44","X.out57.",1,1.2,1.9,0,1,1,0,0,1,-2
"45","X.out6.",1,1.05714285714286,0.514285714285714,0,0,1,0,1,0,-1
"46","X.out7.",2,0.770967741935484,1.34462365591398,0,0,0,0,0,2,0
"47","X.out8.",2,0.881313131313131,0.772727272727273,0,0,1,1,0,1,-1
